site,path,status,exit_code,http_code,final_url,redirects,error,statuses,locations
ondernemersfondsmedemblik.nl,/st-beheer/,ERROR,6,000,http://ondernemersfondsmedemblik.nl/st-beheer/,0,Could not resolve host: ondernemersfondsmedemblik.nl,,
ondernemersfondsmedemblik.nl,/wp-admin/,ERROR,6,000,http://ondernemersfondsmedemblik.nl/wp-admin/,0,Could not resolve host: ondernemersfondsmedemblik.nl,,
taxlex.nl,/st-beheer/,ERROR,6,000,http://taxlex.nl/st-beheer/,0,Could not resolve host: taxlex.nl,,
taxlex.nl,/wp-admin/,ERROR,6,000,http://taxlex.nl/wp-admin/,0,Could not resolve host: taxlex.nl,,
deraadreinders.nl,/st-beheer/,ERROR,6,000,http://deraadreinders.nl/st-beheer/,0,Could not resolve host: deraadreinders.nl,,
deraadreinders.nl,/wp-admin/,ERROR,6,000,http://deraadreinders.nl/wp-admin/,0,Could not resolve host: deraadreinders.nl,,
deslimmechef.nl,/st-beheer/,ERROR,6,000,http://deslimmechef.nl/st-beheer/,0,Could not resolve host: deslimmechef.nl,,
deslimmechef.nl,/wp-admin/,ERROR,6,000,http://deslimmechef.nl/wp-admin/,0,Could not resolve host: deslimmechef.nl,,
jasperfijma.nl,/st-beheer/,ERROR,6,000,http://jasperfijma.nl/st-beheer/,0,Could not resolve host: jasperfijma.nl,,
jasperfijma.nl,/wp-admin/,ERROR,6,000,http://jasperfijma.nl/wp-admin/,0,Could not resolve host: jasperfijma.nl,,
limo4u.nl,/st-beheer/,ERROR,6,000,http://limo4u.nl/st-beheer/,0,Could not resolve host: limo4u.nl,,
limo4u.nl,/wp-admin/,ERROR,6,000,http://limo4u.nl/wp-admin/,0,Could not resolve host: limo4u.nl,,
wlkm.nl,/st-beheer/,ERROR,6,000,http://wlkm.nl/st-beheer/,0,Could not resolve host: wlkm.nl,,
wlkm.nl,/wp-admin/,ERROR,6,000,http://wlkm.nl/wp-admin/,0,Could not resolve host: wlkm.nl,,
nzvschilders.nl,/st-beheer/,ERROR,6,000,http://nzvschilders.nl/st-beheer/,0,Could not resolve host: nzvschilders.nl,,
nzvschilders.nl,/wp-admin/,ERROR,6,000,http://nzvschilders.nl/wp-admin/,0,Could not resolve host: nzvschilders.nl,,
kbgmontage.nl,/st-beheer/,ERROR,6,000,http://kbgmontage.nl/st-beheer/,0,Could not resolve host: kbgmontage.nl,,
kbgmontage.nl,/wp-admin/,ERROR,6,000,http://kbgmontage.nl/wp-admin/,0,Could not resolve host: kbgmontage.nl,,
